indices,name,text,target,neg,neu,pos,compound
30,awake,   it’s not that i believe it but that i want to try holding out because this is all that i can do   i want to remain i want to dream more even so what i’m saying is that it’s time to leave   yeah it’s my truth it’s my truth i will be covered with wounds all over   but it’s my fate it’s my fate still i want to struggle and fight   maybe i i can never fly i can’t fly like the flower petals over there or as though i have wings maybe i i can’t touch the sky still i want to stretch my hand out i want to run just a bit more   i’m just walking and walking among this darkness my happy times asked me this question you are you really okay it asked me oh no   i replied no i’m so afraid still i hold the 6 flowers tightly in my hands i i’m just walking i said oh no   but it’s my fate it’s my fate still i want to struggle and fight   maybe i i can never fly i can’t fly like the flower petals over there or as though i have wings maybe i i can’t touch the sky still i want to stretch my hand out i want to run just a bit more   wide awake wide awake wide awake don’t cry wide awake wide awake wide awake no lie wide awake wide awake wide awake don’t cry wide awake wide awake wide awake no lie   maybe i i can never fly i can’t fly like the flower petals over there or as though i have wings maybe i i can’t touch the sky still i want to stretch my hand out i want to run just a bit more  ,1,0.123,0.696,0.181,0.9093
31,lost,   i’m still standing here with my eyes closed lost between the deserts and oceans i’m still wandering where should i go yeah i didn’t know there were this many paths i can’t go and paths i can’t take i never felt this way before am i becoming an adult   this is too hard is this path right for me i am confused never leave me alone i still believe even though it’s unbelievable to lose your path is the way to find that path   lost my way constantly pushing without rest within the harsh rainstorms lost my way within a complicated world without an exit lost my way lost my way no matter how much i wander i want to believe in my path   lost my way found my way lost my way found my way   i once saw an ant going somewhere there is no way to find the path at once constantly crashing and crawling forward to find something to eat roaming for days   you know there is a reason for all this frustration i believe that we’re on the right path if we ever find it we will return home at once just like an ant   this is too hard is this path right for me i am so confused don’t you leave me alone i still want to believe even though it’s unbelievable to lose your path is the way to find that path   lost my way constantly pushing without rest within the harsh rainstorms lost my way within a complicated world without an exit lost my way lost my way i wander i want to believe in my path   so long goodbye to my hope with no promise so long even if i’m slow i will walk with my own feet because i know this path is mine to take even if i go back i will reach this path eventually i never i will never i will never lose my dream   lost my way constantly pushing without rest within the harsh rainstorms lost my way within a complicated world without an exit lost my way lost my way i wander i want to believe in my path   lost my way found my way lost my way found my way  ,1,0.188,0.745,0.067,-0.993
32,am-i-wrong,   am i wrong fallin in love with you tell me am i wrong while your other man was out there cheatin and lyin steppin all over you   the world’s goin’ crazy how about you how bout ya you think it is okay i don’t think it’s that okay have ears but don’t listen have eyes but don’t see fish live in all our hearts its name is selfish selfish we’re all dogs pigs become dogs because we’re angry stork vs crowtit warring errday crazy world yeah makes us crazy yeah that’s right we’re all crazy all right now give a shout mayday mayday   it seems like the entire world has gone crazy seems like the end oh why oh why oh why oh why oh why why why why oh my god   am i wrong did i say something wrong did i lie going crazy  crazy  am i wrong am i wrong where am i going the world’s going crazy   are you ready for this are you ready for this are you ready for this no im not   that’s right kid you gone crazy the fact that you’re not crazy in a crazy world is crazy the earth and sky and all around  online offline    if what you see on the news is nothing to you if that comment is nothing to you if that hatred is nothing to you you’re not normal you’re abnormal   it seems like the entire world has gone crazy seems like the end oh why oh why oh why oh why oh why why why why oh my god   am i wrong did i say something wrong am i wrong did i lie going crazy  crazy  am i wrong  am i wrong  where am i going the world’s going crazy  though i walk this crazy world’s path i still want to live longer i want to find it my faith   am i wrong did i say something wrong did i lie going crazy  crazy  am i wrong am i wrong where am i going the world’s going crazy   are you ready for this are you ready for this are you ready for this  ,1,0.31,0.572,0.118,-0.9984
33,spring-day,   miss you saying this makes me miss you even more miss you even though i’m looking at your photo time’s so cruel i hate us seeing each other for once is now so hard between us   it’s all winter here even in august my heart is running on the time alone on the snowpiercer wanna get to the other side of the earth holding your hand wanna put an end to this winter how much longing should we see snowing down to have the days of spring friend   like the tiny dust tiny dust floating in the air will i get to you a little faster if i was the snow in the air   snowflakes fall down and get farther away little by little i miss you  i miss you  how long do i have to wait and how many sleepless nights do i have to spend to see you  to meet you    passing by the edge of the cold winter until the days of spring until the days of flower blossoms please stay please stay there a little longer   is it you who changed  or is it me  i hate this moment this time flowing by we are changed you know just like everyone you know   yes i hate you you left me but i never stopped thinking about you not even a day honestly i miss you but i’ll erase you cause it hurts less than to blame you   i try to exhale you in pain like smoke like white smoke i say that i’ll erase you but i can’t really let you go yet   snowflakes fall down and get farther away little by little i miss you  i miss you  how long do i have to wait and how many sleepless nights do i have to spend to see you  to meet you    you know it all you’re my best friend the morning will come again no darkness no season is eternal   maybe it’s cherry blossoms and this winter will be over i miss you  i miss you  wait a little bit just a few more nights i’ll be there to see you  i’ll come for you    passing by the edge of the cold winter until the days of spring until the days of flower blossoms please stay please stay there a little longer  ,1,0.128,0.781,0.09,-0.8252
34,not-today,   all the underdogs in the world a day may come when we lose but it is not today today we fight   no not today flowers wither eventually but no not today today is not that day no no not today not yet a day to die too good day no no not today no no no not today   yeah we are extra but still part of this world extra  ordinary that’s nothing at all we won’t ever die today light shines through the darkness it wants a new world and you oh baby yes i want it   if you can’t fly then run today we will survive if you can’t run then walk today we will survive if you can’t walk then crawl even if you have to crawl gear up aim your gun ready fire   not not today not not today hey crowtits everyone hands up hey friends everyone hands up hey if you believe me hands up gun ready fire   don’t die don’t ask scream not not today don’t kneel don’t cry raise your hands not not today hey not not today hey not not today hey not not today gun ready fire   too hot success is doublin’ too hot tumbling in the charts too high we on trampoline too high someone stop us   we couldn’t fail because we believed in each other what you say yeah not today yeah we will never die today yeah   i believe in you by my side together we won’t die i believe in you by my side together we won’t die i believe in the word together i believe in bts aim your gun ready fire   not not today not not today hey crowtits everyone hands up hey friends everyone hands up hey if you believe me hands up gun ready fire   don’t die don’t ask scream not not today don’t kneel don’t cry raise your hands not not today hey not not today hey not not today hey not not today gun ready fire   throw it up throw it up forget about the fear in your eyes break it up break it up break the glass ceiling that cages you turn it up  burn it up  until the day of victory  don’t kneel don’t collapse that’s  not today   not not today not not today hey crowtits everyone hands up hey friends everyone hands up hey if you believe me hands up gun ready fire   don’t die don’t ask scream not not today don’t kneel don’t cry raise your hands not not today hey not not today hey not not today hey not not today gun ready aim  ,1,0.294,0.617,0.089,-0.999
35,intro-boy-meets-evil,   the light of my future is dimming because of my childish love i lost my way on a path of dream the venom of my ambition i sharpened my knife every day but because of my uncontrollable greed my knife became dull i know it all this love is another name for the devil don’t hold her hand i shouted but turned away from my conscience i feel the sharp reality more every day there’s red blood from being torn apart by reality i never thought that the greed would become the trumpet heralding hell breathe   my breath is getting shorter i close my eyes every night from twisted reality the music box of tragedy echoes but in order to be free from this crime it’s impossible to forget and give up because those lips were too sweet i threw my future away because i was drunk on dating when i woke up i was surrounded by land mines surrounded by people’s stares that can’t be touched i shout for a miracle in this reality  it was crazy good i was an idiot addicted to sweetness yeah an idiot i didn’t want to let go of the devil’s hand   too bad but it’s too sweet it’s too sweet it’s too sweet too bad but it’s too sweet it’s too sweet it’s too sweet too bad but it’s too sweet it’s too sweet it’s too sweet too bad but it’s too sweet it’s too sweet it’s too sweet   it’s too evil it’s too evil it’s too evil yeah it’s evil  ,1,0.264,0.493,0.242,-0.926
36,a-supplementary-story-you-never-walk-alone,   hey why does god always make us feel lonely oh no no no no no no yeah even if were covered in scars we can smile if we’re together  at the end of this road you walk alone will you step on it whatever there may be sometimes we may get tired or sick that’s okay i am by your side if you and i are together we can smile   i want to fly but i have no wings but your hand becomes my wings i want to forget the dark and lonely things together with you  these wings sprouted from my pain but these wings are going towards the light even if its tiring and painful i will fly if i can will you hold my hand so that i won’t be afraid anymore if you and i are together i can smile   this is the path i chose and even if they say its fate because i created all of this even if they say its the price i must pay for this life  will you walk with me will you fly with me to the edge of the sky so i can touch your hand even if it hurts like this if you and i are together i can smile   ayy i never walk alone i can feel the warmth in your hand that i’m holding ayy you never walk alone feel me youre not alone either  come on crawl crawlcrawl crawl it like it like that baby walk walk walk walk it like it like that baby run run run run it like it like that baby fly fly fly fly it like it like that  this road may be long and rough but will you stay with me we may fall and sometimes get hurt but will you stay with me  ayy i never walk alone if you and i are together we can smile ayy you never walk alone if you and i are together we can smile if you and i are together we can smile  ,1,0.139,0.665,0.196,0.9806
37,interlude-wings,   take me to the sky   put your hands up to the sky yeah if youre feelin the vibe cmon if youre ready to fly lets do it   remember when i was a child i didn’t have big worries this small feather was going to become my wings and with those wings i was going to fly i believed and i was full of faith and laughter    i went down a path people told me not to i did things people told me not to i wanted things i should not want i would be hurt hurt again you can call me stupid then i just smirk i don’t want to be successful doing something i don’t want to do i push myself word   i believe in myself my back hurts because it’s to sprout my wings i believe in you i may be weak now but in the end it will be an incredible jump fly fly up in the sky fly fly get ’em up high this is the path you chose dude don’t doubt yourself this is only the first flight uh   take me to the sky if i can fly free if i can run away forever   if my wings could fly i would pierce through the heavy air and fly i fly i fly i fly   higher than higher than higher than the sky i fly i fly i fly beat my red wings with all my might   spread spread spread my wings lala lalalala lala lalalala  spread spread spread my wings lala lalalala lala lalalala   wings are made to fly fly fly fly fly fly if my wings could fly  ,1,0.072,0.874,0.054,-0.2223
38,i-need-u,   fall fall fall scattering apart fall fall fall falling   because of you i’m becoming ruined i wanna stop i don’t want you anymore i can’t do it this sucks please don’t give me any excuses   you can’t do this to me all of the things you said are like a mask it hides the truth and rips me apart it pierces me i’m going crazy i hate this take it all away i hate you   but you’re my everything  everything  everything  please go away huh  i’m sorry  i love you  forgive me   i need you girl why am i in love alone why am i hurting alone i need you girl why do i keep needing you when i know i’ll get hurt  i need you girl you’re beautiful i need you girl you’re so cold i need you girl i need you girl i need you girl i need you girl   it goes round  round why do i keep coming back i go down  down at this point i’m just a fool whatever i do i can’t help it it’s definitely my heart my feelings but why don’t they listen to me i’m just talking to myself again talking to myself again i’m just talking to myself again talking to myself again you’re not saying anything please i’ll treat you well but the sky is blue the sky is blue   the sky is blue and the sun is shining so my tears are even more noticeable why is it you why did it have to be you why can’t i leave you   i need you girl why am i in love alone why am i hurting alone i need you girl why do i keep needing you when i know i’ll get hurt  i need you girl you’re beautiful i need you girl you’re so cold i need you girl i need you girl i need you girl i need you girl   girl just tell me you wanna break up girl just tell me it wasn’t love i have no courage to say that give me my last gift so i can’t ever go back to you   i need you girl why am i in love alone why am i hurting alone i need you girl why do i keep needing you when i know i’ll get hurt  i need you girl you’re beautiful i need you girl you’re so cold i need you girl i need you girl i need you girl i need you girl  ,1,0.141,0.686,0.174,0.9804
39,butterfly-prologue-mix,   don’t think of anything don’t say anything not even a word just give me a smile   i still can’t believe it all of this seems like a dream don’t try to disappear   is it true is it true you you you’re so beautiful that i’m scared   untrue untrue you you you   will you stay by my side will you promise me if i let go of your hand you’ll fly away and break i’m scared scared scared of that   will you stop time if this moment passes as though it hadn’t happened i’m scared scared scared i’ll lose you   butterfly like a butterfly just like a butterfly bu butterfly   butterfly like a butterfly just like a butterfly bu butterfly   your eyebrows slightly grimacing at the sunlight gently shaking your fine soft hair intoxicated by your scent my heart is tickling   like the way you are stroking my cheeks like the dust drifting along freely you’re right there but why are you beyond my reach   is it true is it true you you you’re so beautiful that i’m scared   untrue untrue you you you   will you stay by my side will you promise me if i let go of your hand you’ll fly away and break i’m scared scared scared of that   will you stop time if this moment passes as though it hadn’t happened i’m scared scared scared i’ll lose you   butterfly like a butterfly just like a butterfly bu butterfly   butterfly like a butterfly just like a butterfly bu butterfly  instrumental   don’t think of anything don’t say anything not even a word just give me a smile  ,1,0.167,0.619,0.215,0.9132
40,run,   you’re my sun one and only in this world i bloom for you but you make me thirsty it’s too late too late i can’t live without you even if i‘m drying out i try harder to reach you   but it’s no use it’s a dream to be broken i run and run but i’m not getting anywhere just burn me out yes keep pushing me away this is a fool crazy in love chasing in circles   make me run make me run more let my feet rip apart with wounds at least i can i smile when i see you   i run run run i can’t stop run run run again i can’t help it this is all i can do anyway all i know is how to love you  run run run again it’s okay to fall run run run again it’s okay to get hurt i’m alright even if i can’t have you pitiful destiny point your finger at me   don’t tell me bye bye  you make me cry cry  love is a lie lie don’t tell me don’t tell me don’t tell me bye bye   everyone says it’s over but i can’t stop is this sweat or tear i can’t really tell oh my love stripped bare the stormy winds they make me run again my heart beats again   make me run make me run more let my feet rip apart with wounds at least i can i smile when i see you   i run run run i can’t stop run run run again i can’t help it this is all i can do anyway all i know is how to love you  run run run again it’s okay to fall run run run again it’s okay to get hurt i’m alright even if i can’t have you pitiful destiny point your finger at me   memories crumble like dried flower petals at the tip of my fingers under my feet right behind your back i’m chasing butterflies so lost in dreams i follow your traces show me the way please stop me let me breathe   i run run run i can’t stop run run run again i can’t help it this is all i can do anyway all i know is how to love you  run run run again it’s okay to fall run run run again it’s okay to get hurt i’m alright even if i can’t have you pitiful destiny point your finger at me   don’t tell me bye bye  you make me cry cry  love is a lie lie don’t tell me don’t tell me don’t tell me bye bye  ,1,0.143,0.674,0.184,0.9662
41,ma-city,   wherever you live wherever i live   i ran for a long time i ran again for a long time yeah i’ll be ridin and i’ll be dyin’ in ma city   i don’t know what to say even if i die i can’t tell even if you give me a hundred thousand dollars to live somewhere else ah no thanks ilsan is where i want to be buried even after i die it’s the city of the flower city of mon la festa and the western dom that are like home the hugok academy that raised me during my young years uh the most harmonious place in the world uh nature and the city’s building and flowers uh me who likes the ilsan lake park more than the han river will hug you much more warmly even though we’re small when i feel like i’m forgetting myself in that place i find my old self  remember everything even your smell you’re my summer autumn winter and every spring   the busan beach there say la la la la la under the blue sky this skyline say la la la la la ahjaedeul put your hands up ahjimae too wave your hands come to ma city   come to ma city i hope that you’ll watch over me well know how to party the city that raised me that’s right baby baby this is my city city welcome to ma city   i ran for a long time i ran again for a long time yeah ill be ridin and ill be dyin’ in ma city city ma city ma city yeah   i’m a south jeollado gwangjus baby even if my footsteps go to the mountains it always goes to the summit of mt mudeung every day my life is hot the heat of the south there’s no such thing as giving up on the law of this fierce heat i put on a kia and i turn on the engine bounce like crazy with just one dance i raise my big dream of being a singer now in front of reality  music and i jump on stage everyone saw right i put in passion i’m gwangju’s hoshigi the country’s 8 provinces gear up if you want to see me then gather at 7 everyone dial it 062  518   the busan beach there say la la la la la under the blue sky this skyline say la la la la la ahjaedeul put your hands up ahjimae too wave your hands come to ma city   come to ma city i hope that you’ll watch over me well know how to party the city that raised me that’s right baby baby this is my city city welcome to ma city   i was born in daegu i was brought up in daegu it’s a bit difficult to get a blood transfusion my blue blood inside my body this bastard in every album talks about daegu and doesn’t seem to get bored of it you can think like that but i’m a dboy that’s right i’m a dboy honestly speaking in daegu there’s nothing much to boast about my birth is in itself daegu’s pride right ah alright there’s nothing to boast but i can’t help but be proud right ayo i’m the most successful guy born in daegu you will hear this kind of thing listen well now i’m daegu’s pride a new generation a new wind daegu’s past present and future   come to ma city i hope that you’ll watch over me well know how to party the city that raised me that’s right baby baby this is my city city welcome to ma city   i ran for a long time i ran again for a long time yeah ill be ridin and ill be dyin’ in ma city city ma city ma city yeah   la la la la la la la la la la la la la la la la wherever i live wherever i am ma city city ma city ma city yeah yeah  ,1,0.042,0.819,0.139,0.9952
42,save-me,  i want to breathe i hate this night i want to wake up i hate this dream i’m trapped inside of myself and i’m dead don’t wanna be lonely just wanna be yours  why is it so dark where you’re not here it’s dangerous how wrecked i am save me because i can’t get a grip on myself  listen to my heartbeat it calls you whenever it wants to because within this pitch black darkness you are shining so brightly  give me your hand save me save me i need your love before i fall fall give me your hand save me save me i need your love before i fall fall  give me your hand save me save me give me your hand save me save me  save me save me  today the moon shines brighter on the blank spot in my memories it swallowed me this lunatic please save me tonight  within this childish madness you will save me tonight  i knew that your salvation is a part of my life and the only helping hand that will embrace my pain the best of me you’re the only thing i have please raise your voice so that i can laugh again play on  listen to my heartbeat it calls you whenever it wants to because within this pitch black darkness you are shining so brightly  give me your hand save me save me i need your love before i fall fall give me your hand save me save me i need your love before i fall fall  give me your hand save me save me give me your hand save me save me  thank you for letting me be me for helping me fly for giving me wings for straightening me out for waking me from being suffocated for waking me from a dream which was all i was living in when i think of you the sun comes out so i gave my sadness to the dog   give me your hand save me save me i need your love before i fall fall give me your hand save me save me i need your love before i fall fall  ,1,0.077,0.541,0.382,0.9993
43,epilogue-young-forever,   the curtain falls and i’m out of breath i get mixed feelings as i breathe out did i make any mistakes today how did the audience seem i’m happy with who i’ve become that i can make someone scream with joy still excited from the performance   i stand on the empty stage while holding onto an aftertaste that will not linger for long while standing on this empty stage i become afraid of this unpleasant emptiness within my suffocating feelings on top of my life’s line without a reason i forcibly act that i am fine this isn’t the first time i better get used to it i try to hide it but i can’t when the heat of the show cools down i leave the empty seats behind   trying to comfort myself i tell myself the world can’t be perfect i start to let myself go the thundering applause i can’t own it forever i tell myself so shameless raise your voice higher even if the attention isn’t forever i’ll keep singing as today’s me i want eternity forever i want to be young   forever we are young   under the flower petals raining down i run so lost in this maze   forever we are young   even when i fall and hurt myself i endlessly run toward my dream   forever ever ever ever    forever ever ever ever we are young   forever ever ever ever    forever ever ever ever we are young   forever we are young   under the flower petals raining down i run so lost in this maze   forever we are young   even when i fall and hurt myself i keep running toward my dream   forever we are young under the flower petals raining down i run so lost in this maze  forever we are young even when i fall and hurt myself i keep running toward my dream  ,1,0.138,0.76,0.102,-0.9306
44,converse-high,   your converse high your converse high your converse high converse high   i’m so into your converse highs i can’t help it i’m so into your converse highs i like it so much   if i had only one day i will go see the person who created converse highs then i’ll tell that person you saved the world you made that girl born again f your chanel f your alexander mcqueen f your raf simons just come here and check it you can buy two pairs with just 100 dollars you know what i want white tshirt jeans and red converse highs that’s it   alright red orange yellow green blue violet indigo the rainbow on your feet is shot like rambo it aims at me bang bang shout out wow wow together with your body makes me go hukhuk big taxi big cycle big subway no thanks i wanna ride the big bus rather than the stars in the sky i wanna see the stars on your shoes haha without namjoon knowing   you pass by and become connected you enter in and become love someone said that before but i am just colored by you i like you but still don’t wear converse lows   i’m so into your converse highs i can’t help it i’m so into your converse highs i like it so much   your converse highs i really really want yo converse high i really really like yo converse high i really really need yo converse high converse high   converse converse i really hate a converse when you look all flashy with your black stockings and your high heels that’s just a lie but you look better with jordan numbers ha don’t you know converse kill your charms anyway when you meet me don’t wear converses it’s too hard to take them off of you   you pass by and become connected you enter in and become love someone said that before but i am just colored by you i like you but still don’t wear converse lows   i’m so into your converse highs i can’t help it i’m so into your converse highs i like it so much   your converse highs i really really want yo converse high i really really like yo converse high i really really need yo converse high converse high   your converse highs i really really want yo converse high i really really like yo converse high i really really need yo converse high converse high  converse high  ,1,0.045,0.792,0.164,0.992
45,butterfly,   don’t think of anything don’t say anything not even a word just give me a smile   i still can’t believe it all of this seems like a dream don’t try to disappear   is it true is it true you you you’re so beautiful that i’m scared   untrue untrue you you you   will you stay by my side will you promise me if i let go of your hand you’ll fly away and break i’m scared scared scared of that   will you stop time if this moment passes as though it hadn’t happened i’m scared scared scared i’ll lose you   butterfly like a butterfly just like a butterfly bu butterfly   butterfly like a butterfly just like a butterfly bu butterfly   you’re just like a butterfly from afar i steal glances if we touch hands will i lose you you shine in this pitch darkness that is the butterfly effect your light touches i forget the reality at once   it’s like a wind that gently strokes me it’s like a dust that gently drifts along you’re there but for some reason i can’t reach you stop you who’s like a dream is a butterfly high to me   untrue untrue you you you   will you stay by my side will you promise me if i let go of your hand you’ll fly away and break i’m scared scared scared of that   will you stop time if this moment passes as though it hadn’t happened i’m scared scared scared i’ll lose you   the small pieces guttered down darkly from my heart a barren noise i don’t know if this is reality or a dream my kafka on the seaside don’t go to those woods over there my heart is still shattering on you  my love that is forever it’s all free for you baby   will you stay by my side will you promise me if i let go of your hand you’ll fly away and break i’m scared scared scared of that   will you stop time if this moment passes as though it hadn’t happened i’m scared scared scared i’ll lose you   butterfly like a butterfly just like a butterfly bu butterfly   butterfly like a butterfly just like a butterfly bu butterfly  ,1,0.197,0.63,0.174,-0.9349
46,i-need-u-urban-mix,   fall fall fall scattering apart fall fall fall falling   because of you i’m becoming ruined i wanna stop i don’t want you anymore i can’t do it this sucks please don’t give me any excuses   you can’t do this to me all of the things you said are like a mask it hides the truth and rips me apart it pierces me i’m going crazy i hate this take it all away i hate you   but you’re my everything you’re my everything you’re my everything you’re my please go away huh  i’m sorry i hate u i love you i hate u forgive me   i need you girl why am i in love alone why am i hurting alone i need you girl why do i keep needing you when i know i’ll get hurt  i need you girl you’re beautiful i need you girl you’re so cold i need you girl i need you girl i need you girl i need you girl   it goes round  round why do i keep coming back i go down  down at this point i’m just a fool whatever i do i can’t help it it’s definitely my heart my feelings but why don’t they listen to me i’m just talking to myself again talking to myself again i’m just talking to myself again talking to myself again you’re not saying anything please i’ll treat you well but the sky is blue the sky is blue   the sky is blue and the sun is shining so my tears are even more noticeable why is it you why did it have to be you why can’t i leave you   i need you girl why am i in love alone why am i hurting alone i need you girl why do i keep needing you when i know i’ll get hurt  i need you girl you’re beautiful i need you girl you’re so cold i need you girl i need you girl i need you girl i need you girl   girl just tell me you wanna break up girl just tell me it wasn’t love i have no courage to say that give me my last gift so i can’t ever go back to you   i need you girl why am i in love alone why am i hurting alone i need you girl why do i keep needing you when i know i’ll get hurt  i need you girl you’re beautiful i need you girl you’re so cold i need you girl i need you girl i need you girl i need you girl  ,1,0.157,0.675,0.168,0.945
47,i-need-u-remix,   fall fall fall scattering apart fall fall fall falling   because of you i’m becoming ruined i wanna stop i don’t want you anymore i can’t do it this sucks please don’t give me any excuses   you can’t do this to me all of the things you said are like a mask it hides the truth and rips me apart it pierces me i’m going crazy i hate this take it all away i hate you   but you’re my everything you’re my everything you’re my everything you’re my please go away huh  i’m sorry i hate u i love you i hate u forgive me   i need you girl why am i in love alone why am i hurting alone i need you girl why do i keep needing you when i know i’ll get hurt  i need you girl you’re beautiful i need you girl you’re so cold i need you girl i need you girl i need you girl i need you girl   it goes round  round why do i keep coming back i go down  down at this point i’m just a fool whatever i do i can’t help it it’s definitely my heart my feelings but why don’t they listen to me i’m just talking to myself again talking to myself again i’m just talking to myself again talking to myself again you’re not saying anything please i’ll treat you well but the sky is blue the sky is blue   the sky is blue and the sun is shining so my tears are even more noticeable why is it you why did it have to be you why can’t i leave you   i need you girl why am i in love alone why am i hurting alone i need you girl why do i keep needing you when i know i’ll get hurt  i need you girl you’re beautiful i need you girl you’re so cold i need you girl i need you girl i need you girl i need you girl   girl just tell me you wanna break up girl just tell me it wasn’t love i have no courage to say that give me my last gift so i can’t ever go back to you   i need you girl why am i in love alone why am i hurting alone i need you girl why do i keep needing you when i know i’ll get hurt  i need you girl you’re beautiful i need you girl you’re so cold i need you girl i need you girl i need you girl i need you girl  ,1,0.136,0.637,0.227,0.9952
48,run-ballad-mix,  you are my only sun one and only in the world i bloomed for you but i’m still getting thirsty it’s too late too late i can’t live without you though my branch runs dry i reach for you with all my strength  no matter how far i reach for you it is just an empty dream dream dream no matter how crazy i run i remain on the same place place place just burn me yes push me out this is crazyfool’s love running  let me run more please let me run more even though my feet are full of scars i smile whenever i see you  let’s run run run again i can’t stop running let’s run run run again i can’t help running only thing i can do is run only thing i can do is love you  let’s run run run again it’s ok to fall down let’s run run run again it’s ok to be injured i am happy enough even though i can’t get you curse me this foolish destiny   don’t tell me bye bye  you make me cry cry  love is a lie lie don’t tell me don’t tell me don’t tell me bye bye  everybody say it is over but i can’t stop this i can’t tell whether it is sweat or tears my barelove and tough typhoon and wind can only make me run more with my heart  let me run more please let me run more even though my feet are full of scars i smile whenever i see you  let’s run run run again i can’t stop running let’s run run run again i can’t help running only thing i can do is run only thing i can do is love you  let’s run run run again it’s ok to fall down let’s run run run again it’s ok to be injured i am happy enough even though i can’t get you curse me this foolish destiny  memories are crumbling like dried flower leaves on my fingertips and under my feet and behind my back like chasing butterfly or wondering in dreams i follow your traces please guide me please stop me please let me breathe  let’s run run run again i can’t stop running let’s run run run again i can’t help running only thing i can do is run only thing i can do is love you  let’s run run run again it’s ok to fall down let’s run run run again it’s ok to be injured i am happy enough even though i can’t get you curse me this foolish destiny   don’t tell me bye bye  you make me cry cry  love is a lie lie don’t tell me don’t tell me don’t tell me bye bye  ,1,0.138,0.6,0.262,0.9982
49,hold-me-tight,   i empty my drink but it gets filled with loneliness i should’ve just given in why did i argue all the time even the trash bag thrown away on the street makes a lonely sound in the wind all i did was color you in my white blank paper but then i realized it already became a finished picture you and i are like cell phones when we’re apart you know we’ll be broken only your scent completes me hurry and hug me   i can only see you i can only see you alone look i’m fair with everyone else but you now i can’t live a day without you please   hold me tight hug me can you trust me can you trust me can you trust me pull me in tight hold me tight hug me can you trust me can you trust me please please please pull me in and hug me   you still shine you’re still like a scented flower now trust me hold me once again so i can feel you hold me  without you i can’t breathe i’m nothing without you open my closed heart drench my heart so i can feel you hold me   your arms your warmth your heart i want to see it all i beg you this moment even the warm flower scented wind even the sky without a single cloud everything feels cold and i’m even scared of the clear sky if you’re not here i’m just a corpse so how can i breathe it hurts i’m always cry cry cry i’m going crazy exhausted without you i think of you without stopping i hate it all i hate every single day it makes me cry ring ding dong if there’s a chance i’ll catch you i’m running it’s starting count down i’m ready to be cut by your roselike embrace as i hold you again   i can only see you i can only see you alone look i’m fair with everyone else but you now i can’t live a day without you please   hold me tight hug me can you trust me can you trust me can you trust me pull me in tight hold me tight hug me can you trust me can you trust me please please please pull me in and hug me   your cold face tells me everything rather than words i can see a break up rising over me like a high tide i know it will soon be our last but i can’t let you go don’t talk don’t leave just quietly hold me girl   hold me tight hug me trust me trust me trust me hold me tight hug me can you trust me can you trust me please please please pull me in and hug me   you still shine you’re still like a scented flower now trust me hold me once again so i can feel you hold me  ,1,0.156,0.682,0.162,-0.56
50,dope,   welcome first time with bts   ayo ladies  gentleman if you’re ready i’ll start yeah differently from the other guys with my style with my style   i worked all night everyday while you were out clubbing don’t be surprised listen every day i got a feel i got a feel   i’m kinda sick   were drenched drenched drenched in sweat in our practice room look my great great great dance moves prove it all all the weak loser whiny idiots they have nothing on me cuz im full of hope haha   ok were dope from head to toe over half of the day we drown in work even if our youth rots in the studio thanks to that were closer to success girls shout louder make it ring ring   i worked all night every day while you were playing in the club differently from other guys i don’t wanna say yes i don’t wanna say yes   make some noise all right till your body burns up all night  cause we got fire  higher  i gotta make it i gotta make it it’s sick   i reject rejection im always over the top everyone copies me dope dope dope dope i reject rejection you all work for me everyone copies me dope dope dope   given up on 3 given up on 5 i like the number 6 how about giving up on 6 the media and adults say we don’t have willpower condemning us like stocks why are they killing us before we can even try enemy enemy enemy why are you hanging your head and accepting it already energy energy energy don’t ever give up you know you not lonely our dawn is prettier than the day so can i get a little bit of hope yeah wake your sleeping youth go   i worked all night every day while you were playing in the club differently from other guys i don’t wanna say yes i don’t wanna say yes   make some noise all right till your body burns up all night all night cause we got fire fire higher higher i gotta make it i gotta make it it’s sick   i reject rejection i was always too much everyone follow me it’s sick  reject rejection youre all my slaves everyone follow me it’s sick   this kind of thing is bts style different from those lying wack jobs every day is hustle life i gotta make it fire baby  this kind of thing is bts style different from those lying wack jobs every day is hustle life i gotta make it i gotta make it i’m kinda awesome   say what  say wo wo say what dope  ,1,0.077,0.783,0.14,0.9934
